Field,JavaType,DatabaseColumn,SolrField,Required,CardSize_S,CardSize_M,CardSize_L,DisplayLabel,FormatType,Icon,Section,Priority,Notes
complaintId,Long,cm_complaint_id,id,true,no,no,optional,ID,number,fa-hashtag,hidden,5,Primary key - extract from Solr ID pattern
complaintNumber,String,cm_complaint_number,name_lcs,true,yes,yes,yes,Complaint Number,string,fa-exclamation-circle,meta,1,Human-readable identifier
complaintType,String,cm_complaint_type,complaint_type_lcs,false,no,optional,yes,Complaint Type,string,fa-tag,meta,3,Type of complaint
complaintTitle,String,cm_complaint_title,title_parseable,true,yes,yes,yes,Title,string,fa-heading,title,1,Complaint title - primary display
status,String,cm_complaint_status,status_lcs,true,yes,yes,yes,Status,status,fa-circle,header,1,Current status with badge
details,String,cm_complaint_details,description_no_html_tags_parseable,false,no,no,yes,Details,string,fa-align-left,body,4,Long description - truncate to 150 chars
priority,String,cm_complaint_priority,priority_lcs,false,optional,yes,yes,Priority,priority,fa-flag,meta,2,Priority level
tag,String,cm_complaint_tag,,false,no,no,optional,Tag,string,fa-tag,meta,4,Category tag
frequency,String,cm_frequency,,false,no,no,optional,Frequency,string,fa-repeat,body,5,One-time or recurring
incidentDate,Date,cm_incident_date,incident_date_tdt,false,no,optional,yes,Incident Date,date,fa-calendar-times-o,body,3,Date of incident
dueDate,Date,cm_due_date,due_tdt,false,optional,yes,yes,Due Date,date,fa-calendar-check-o,meta,2,Response due date
closed,Date,cm_closed,closed_date_tdt,false,no,optional,yes,Closed Date,date,fa-calendar-minus-o,body,4,Closure date
restricted,Boolean,cm_restricted,restricted_flag_b,false,no,no,optional,Restricted,boolean,fa-lock,header,4,Access restriction
officeLocationType,String,cm_office_location_type,,false,no,no,optional,Office Location,string,fa-building-o,body,5,Office type
legacySystemId,String,cm_legacy_system_id,legacy_system_id_s,false,no,no,optional,Legacy ID,string,fa-history,hidden,5,Legacy reference
complaintUUID,String,cm_complaint_uuid,,false,no,no,optional,UUID,string,fa-fingerprint,hidden,5,Unique identifier
created,Date,cm_created,create_date_tdt,true,no,optional,yes,Created,datetime,fa-plus-circle,footer,3,Creation timestamp
creator,String,cm_creator,creator_lcs,true,no,optional,yes,Created By,user,fa-user-plus,footer,4,Creator user
modified,Date,cm_modified,modified_date_tdt,true,no,yes,yes,Modified,datetime,fa-pencil,footer,2,Last modification
modifier,String,cm_modifier,modifier_lcs,true,no,optional,yes,Modified By,user,fa-user-o,footer,4,Last modifier
assignee,String,,assignee_full_name_lcs,false,optional,yes,yes,Assignee,user,fa-user,meta,2,Primary assignee
owningGroup,String,,owner_lcs,false,no,optional,yes,Owning Group,string,fa-users,body,3,Responsible group
originatorName,String,,originator_full_name_lcs,false,no,optional,yes,Originator,user,fa-user-circle,body,3,Person who filed complaint
defaultAddress,String,,,false,no,no,optional,Address,string,fa-map-marker,body,5,Primary address
dispositionType,String,,disposition_type_s,false,no,optional,yes,Disposition,string,fa-gavel,body,4,Case disposition
documentCount,Integer,,doc_count_i,false,no,optional,yes,Documents,number,fa-files-o,body,4,Attached documents
personCount,Integer,,,false,no,no,optional,People,number,fa-users,body,5,Associated persons
organizationCount,Integer,,,false,no,no,optional,Organizations,number,fa-building,body,5,Associated orgs
objectType,String,,,true,yes,yes,yes,Type,string,fa-exclamation-circle,header,1,Always COMPLAINT for this type
