Field,JavaType,DatabaseColumn,SolrField,Required,CardSize_S,CardSize_M,CardSize_L,DisplayLabel,FormatType,Icon,Section,Priority,Notes
id,Long,cm_consultation_id,id,true,no,no,optional,ID,number,fa-hashtag,hidden,5,Primary key
consultationNumber,String,cm_consultation_number,name_lcs,true,yes,yes,yes,Consultation Number,string,fa-comments,meta,1,Human-readable identifier
consultationType,String,cm_consultation_type,consultation_type_lcs,false,no,optional,yes,Type,string,fa-tag,meta,3,Consultation type
title,String,cm_title,title_parseable,true,yes,yes,yes,Title,string,fa-heading,title,1,Consultation title
status,String,cm_status,status_lcs,true,yes,yes,yes,Status,status,fa-circle,header,1,Current status
details,String,cm_details,description_no_html_tags_parseable,false,no,no,yes,Details,string,fa-align-left,body,4,Long description
consultationDetailsSummary,String,cm_details_summary,,false,no,optional,yes,Summary,string,fa-file-text,body,3,Summary text
priority,String,cm_priority,priority_lcs,false,optional,yes,yes,Priority,priority,fa-flag,meta,2,Priority level
external,Boolean,cm_external,,false,no,no,optional,External,boolean,fa-external-link,meta,5,External parties flag
dueDate,Date,cm_due_date,due_tdt,false,optional,yes,yes,Due Date,date,fa-calendar-check-o,meta,2,Due date
responseDueDate,LocalDate,cm_response_due_date,response_due_date_tdt,false,no,optional,yes,Response Due,date,fa-clock-o,meta,3,Response deadline
receivedDate,LocalDateTime,cm_received_date,received_date_tdt,false,no,optional,yes,Received,datetime,fa-inbox,body,3,Date received
closed,Date,cm_closed,closed_date_tdt,false,no,optional,yes,Closed Date,date,fa-calendar-minus-o,body,4,Closure date
componentAgency,String,cm_component_agency,,false,no,no,optional,Component Agency,string,fa-building,body,4,Government component
externalRequestingAgency,String,cm_external_agency,,false,no,optional,yes,Requesting Agency,string,fa-university,body,3,External agency
restricted,Boolean,cm_restricted,restricted_flag_b,false,no,no,optional,Restricted,boolean,fa-lock,header,4,Access restriction
legacySystemId,String,cm_legacy_system_id,legacy_system_id_s,false,no,no,optional,Legacy ID,string,fa-history,hidden,5,Legacy reference
created,Date,cm_created,create_date_tdt,true,no,optional,yes,Created,datetime,fa-plus-circle,footer,3,Creation timestamp
creator,String,cm_creator,creator_lcs,true,no,optional,yes,Created By,user,fa-user-plus,footer,4,Creator
modified,Date,cm_modified,modified_date_tdt,true,no,yes,yes,Modified,datetime,fa-pencil,footer,2,Last modification
modifier,String,cm_modifier,modifier_lcs,true,no,optional,yes,Modified By,user,fa-user-o,footer,4,Last modifier
assignee,String,,assignee_full_name_lcs,false,optional,yes,yes,Assignee,user,fa-user,meta,2,Primary assignee
owningGroup,String,,owner_lcs,false,no,optional,yes,Owning Group,string,fa-users,body,3,Responsible group
documentCount,Integer,,doc_count_i,false,no,optional,yes,Documents,number,fa-files-o,body,4,Attached documents
personCount,Integer,,,false,no,no,optional,People,number,fa-users,body,5,Associated persons
organizationCount,Integer,,,false,no,no,optional,Organizations,number,fa-building,body,5,Associated orgs
objectType,String,,,true,yes,yes,yes,Type,string,fa-comments,header,1,Always CONSULTATION for this type
