ObjectType,Field,JavaType,DatabaseColumn,SolrField,Required,CardSize_S,CardSize_M,CardSize_L,DisplayLabel,FormatType,Icon,Section,Priority,Notes
CASE_FILE,id,Long,cm_case_id,id,true,no,no,optional,ID,number,fa-hashtag,hidden,5,Primary key
CASE_FILE,caseNumber,String,cm_case_number,name_lcs,true,yes,yes,yes,Case Number,string,fa-folder-open,meta,1,Human-readable identifier
CASE_FILE,caseType,String,cm_case_type,case_type_lcs,false,no,optional,yes,Case Type,string,fa-tag,meta,3,Category/type
CASE_FILE,title,String,cm_case_title,title_parseable,true,yes,yes,yes,Title,string,fa-heading,title,1,Case title
CASE_FILE,status,String,cm_case_status,status_lcs,true,yes,yes,yes,Status,status,fa-circle,header,1,Current status
CASE_FILE,details,String,cm_case_details,description_no_html_tags_parseable,false,no,no,yes,Details,string,fa-align-left,body,4,Long description
CASE_FILE,priority,String,cm_case_priority,priority_lcs,false,optional,yes,yes,Priority,priority,fa-flag,meta,2,Priority level
CASE_FILE,disposition,String,cm_case_disposition,disposition_lcs,false,no,no,yes,Disposition,string,fa-gavel,body,4,Case outcome
CASE_FILE,incidentDate,Date,cm_incident_date,incident_date_tdt,false,no,optional,yes,Incident Date,date,fa-calendar-times-o,body,3,Date of incident
CASE_FILE,dueDate,Date,cm_due_date,due_tdt,false,optional,yes,yes,Due Date,date,fa-calendar-check-o,meta,2,Response due date
CASE_FILE,closed,Date,cm_closed,closed_date_tdt,false,no,optional,yes,Closed Date,date,fa-calendar-minus-o,body,4,Closure date
CASE_FILE,restricted,Boolean,cm_restricted,restricted_flag_b,false,no,no,optional,Restricted,boolean,fa-lock,header,4,Access restriction
CASE_FILE,created,Date,cm_created,create_date_tdt,true,no,optional,yes,Created,datetime,fa-plus-circle,footer,3,Creation timestamp
CASE_FILE,creator,String,cm_creator,creator_lcs,true,no,optional,yes,Created By,user,fa-user-plus,footer,4,Creator
CASE_FILE,modified,Date,cm_modified,modified_date_tdt,true,no,yes,yes,Modified,datetime,fa-pencil,footer,2,Last modification
CASE_FILE,modifier,String,cm_modifier,modifier_lcs,true,no,optional,yes,Modified By,user,fa-user-o,footer,4,Last modifier
CASE_FILE,assignee,String,,assignee_full_name_lcs,false,optional,yes,yes,Assignee,user,fa-user,meta,2,Primary assignee
CASE_FILE,owningGroup,String,,owner_lcs,false,no,optional,yes,Owning Group,string,fa-users,body,3,Responsible group
