Field,JavaType,DatabaseColumn,SolrField,Required,CardSize_S,CardSize_M,CardSize_L,DisplayLabel,FormatType,Icon,Section,Priority,Notes
id,Long,cm_participant_id,id,true,no,no,optional,ID,number,fa-hashtag,hidden,5,Primary key
objectType,String,cm_object_type,parent_object_type_s,true,no,optional,yes,Parent Type,string,fa-link,body,3,Parent object type
objectId,Long,cm_object_id,parent_object_id_i,true,no,no,optional,Parent ID,number,fa-link,hidden,5,Parent object ID
participantType,String,cm_participant_type,participant_type_s,false,yes,yes,yes,Role,string,fa-tag,meta,1,ASSIGNEE OWNING_GROUP etc
participantLdapId,String,cm_participant_ldap_id,participant_id_s,false,yes,yes,yes,Participant,string,fa-user,title,1,User or group ID
participantName,String,,participant_name_s,false,yes,yes,yes,Name,string,fa-user,title,1,Display name - primary
replaceChildrenParticipant,Boolean,cm_replace_children,,false,no,no,optional,Cascade,boolean,fa-level-down,body,5,Cascade changes flag
created,Date,cm_created,create_date_tdt,true,no,optional,yes,Assigned,datetime,fa-plus-circle,footer,2,When assigned
creator,String,cm_creator,creator_lcs,true,no,optional,yes,Assigned By,user,fa-user-plus,footer,3,Who assigned
modified,Date,cm_modified,modified_date_tdt,true,no,optional,yes,Modified,datetime,fa-pencil,footer,3,Last modification
modifier,String,cm_modifier,modifier_lcs,true,no,no,optional,Modified By,user,fa-user-o,footer,4,Last modifier
privilegeCount,Integer,,,false,no,optional,yes,Privileges,number,fa-key,body,4,Number of privileges
objectTypeDisplay,String,,,true,yes,yes,yes,Type,string,fa-users,header,1,Always PARTICIPANT for this type
